delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
132,0,132,132,132,0,41.2,0.00866,0.00866,0.0,132,0,0.00866,0.0,2020-12-27
75,0,75,207,207,0,64.7,0.01358,0.01358,0.0,207,0,0.01358,0.0,2020-12-28
118,0,118,325,325,0,101.6,0.02131,0.02131,0.0,325,0,0.02131,0.0,2020-12-29
9,0,9,334,334,0,2.1,0.0219,0.0219,0.0,334,0,0.0219,0.0,2020-12-30
948,0,948,1282,1282,0,8.1,0.08408,0.08408,0.0,1282,0,0.08408,0.0,2020-12-31
144,0,144,1426,1426,0,9.0,0.09352,0.09352,0.0,1426,0,0.09352,0.0,2021-01-01
686,0,686,2112,2112,0,13.3,0.13851,0.13851,0.0,2112,0,0.13851,0.0,2021-01-02
727,0,727,2839,2839,0,17.8,0.18619,0.18619,0.0,2839,0,0.18619,0.0,2021-01-03
2370,0,2370,5209,5209,0,32.7,0.34161,0.34161,0.0,5209,0,0.34161,0.0,2021-01-04
2755,0,2755,7964,7964,0,28.8,0.52229,0.52229,0.0,7964,0,0.52229,0.0,2021-01-05
1628,0,1628,9592,9592,0,34.7,0.62906,0.62906,0.0,9592,0,0.62906,0.0,2021-01-06
2936,0,2936,12528,12528,0,42.4,0.8216,0.8216,0.0,12528,0,0.8216,0.0,2021-01-07
2685,0,2685,15213,15213,0,51.4,0.99769,0.99769,0.0,15213,0,0.99769,0.0,2021-01-08
1309,0,1309,16522,16522,0,55.9,1.08353,1.08353,0.0,16522,0,1.08353,0.0,2021-01-09
643,0,643,17165,17165,0,58.0,1.1257,1.1257,0.0,17165,0,1.1257,0.0,2021-01-10
2467,0,2467,19632,19632,0,58.7,1.28749,1.28749,0.0,19632,0,1.28749,0.0,2021-01-11
2237,0,2237,21869,21869,0,46.4,1.4342,1.4342,0.0,21869,0,1.4342,0.0,2021-01-12
2635,0,2635,24504,24504,0,52.0,1.607,1.607,0.0,24504,0,1.607,0.0,2021-01-13
2613,0,2613,27117,27117,0,57.5,1.77837,1.77837,0.0,27117,0,1.77837,0.0,2021-01-14
2166,0,2166,29283,29283,0,62.1,1.92042,1.92042,0.0,29283,0,1.92042,0.0,2021-01-15
1254,0,1254,30537,30537,0,64.8,2.00265,2.00265,0.0,30537,0,2.00265,0.0,2021-01-16
856,0,856,31393,31393,0,66.6,2.05879,2.05879,0.0,31393,0,2.05879,0.0,2021-01-17
1483,149,1632,33025,32876,149,66.8,2.16582,2.15605,0.00977,32876,149,2.15605,0.00977,2021-01-18
1090,85,1175,34200,33966,234,69.1,2.24288,2.22753,0.01535,33966,234,2.22753,0.01535,2021-01-19
1173,11,1184,35384,35139,245,68.3,2.32053,2.30446,0.01607,35139,245,2.30446,0.01607,2021-01-20
460,371,831,36215,35599,616,55.0,2.37503,2.33463,0.0404,35599,616,2.33463,0.0404,2021-01-21
1150,473,1623,37838,36749,1089,57.5,2.48146,2.41005,0.07142,36749,1089,2.41005,0.07142,2021-01-22
145,654,799,38637,36894,1743,58.7,2.53386,2.41955,0.11431,36894,1743,2.41955,0.11431,2021-01-23
113,636,749,39386,37007,2379,59.8,2.58298,2.42697,0.15602,37007,2379,2.42697,0.15602,2021-01-24
461,2110,2571,41957,37468,4489,63.7,2.75159,2.4572,0.29439,37468,4489,2.4572,0.29439,2021-01-25
153,2241,2394,44351,37621,6730,59.9,2.90859,2.46723,0.44136,37621,6730,2.46723,0.44136,2021-01-26
180,1433,1613,45964,37801,8163,59.3,3.01438,2.47904,0.53534,37801,8163,2.47904,0.53534,2021-01-27
34,2709,2743,48707,37835,10872,62.8,3.19427,2.48127,0.713,37835,10872,2.48127,0.713,2021-01-28
41,2761,2802,51509,37876,13633,66.4,3.37802,2.48396,0.89407,37876,13633,2.48396,0.89407,2021-01-29
24,1606,1630,53139,37900,15239,68.5,3.48492,2.48553,0.99939,37900,15239,2.48553,0.99939,2021-01-30
7,610,617,53756,37907,15849,69.3,3.52539,2.48599,1.0394,37907,15849,2.48599,1.0394,2021-01-31
75,2249,2324,56080,37982,18098,70.8,3.6778,2.49091,1.18689,37982,18098,2.49091,1.18689,2021-02-01
223,2312,2535,58615,38205,20410,61.3,3.84405,2.50553,1.33851,38205,20410,2.50553,1.33851,2021-02-02
240,1936,2176,60791,38445,22346,63.6,3.98675,2.52127,1.46548,38445,22346,2.52127,1.46548,2021-02-03
237,2512,2749,63540,38682,24858,66.5,4.16703,2.53681,1.63022,38682,24858,2.53681,1.63022,2021-02-04
331,2077,2408,65948,39013,26935,69.0,4.32495,2.55852,1.76643,39013,26935,2.55852,1.76643,2021-02-05
145,1724,1869,67817,39158,28659,70.9,4.44752,2.56803,1.87949,39158,28659,2.56803,1.87949,2021-02-06
3,396,399,68216,39161,29055,71.3,4.47369,2.56823,1.90546,39161,29055,2.56823,1.90546,2021-02-07
297,1486,1783,69999,39458,30541,73.2,4.59062,2.58771,2.00292,39458,30541,2.58771,2.00292,2021-02-08
384,1324,1708,71707,39842,31865,62.5,4.70263,2.61289,2.08975,39842,31865,2.61289,2.08975,2021-02-09
1099,1017,2116,73823,40941,32882,64.3,4.8414,2.68496,2.15644,40941,32882,2.68496,2.15644,2021-02-10
1188,402,1590,75413,42129,33284,65.7,4.94568,2.76287,2.18281,42129,33284,2.76287,2.18281,2021-02-11
1058,591,1649,77062,43187,33875,67.1,5.05382,2.83226,2.22156,43187,33875,2.83226,2.22156,2021-02-12
781,271,1052,78114,43968,34146,61.6,5.12281,2.88348,2.23934,43968,34146,2.88348,2.23934,2021-02-13
224,0,224,78338,44192,34146,61.7,5.1375,2.89817,2.23934,44192,34146,2.89817,2.23934,2021-02-14
1683,239,1922,80260,45875,34385,63.3,5.26355,3.00854,2.25501,45875,34385,3.00854,2.25501,2021-02-15
1873,178,2051,82311,47748,34563,64.9,5.39806,3.13137,2.26668,47748,34563,3.13137,2.26668,2021-02-16
