delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
103,0,103,103,103,0,103.0,0.01891,0.01891,0.0,103,0,0.01891,0.0,2020-12-27
0,0,0,103,103,0,103.0,0.01891,0.01891,0.0,103,0,0.01891,0.0,2020-12-28
0,0,0,103,103,0,103.0,0.01891,0.01891,0.0,103,0,0.01891,0.0,2020-12-29
7,0,7,110,110,0,2.2,0.0202,0.0202,0.0,110,0,0.0202,0.0,2020-12-30
1624,0,1624,1734,1734,0,34.9,0.31838,0.31838,0.0,1734,0,0.31838,0.0,2020-12-31
213,0,213,1947,1947,0,39.1,0.35749,0.35749,0.0,1947,0,0.35749,0.0,2021-01-01
502,0,502,2449,2449,0,49.2,0.44966,0.44966,0.0,2449,0,0.44966,0.0,2021-01-02
492,0,492,2941,2941,0,59.1,0.54,0.54,0.0,2941,0,0.54,0.0,2021-01-03
870,0,870,3811,3811,0,76.6,0.69974,0.69974,0.0,3811,0,0.69974,0.0,2021-01-04
709,0,709,4520,4520,0,65.3,0.82992,0.82992,0.0,4520,0,0.82992,0.0,2021-01-05
42,0,42,4562,4562,0,65.9,0.83763,0.83763,0.0,4562,0,0.83763,0.0,2021-01-06
1270,0,1270,5832,5832,0,59.2,1.07082,1.07082,0.0,5832,0,1.07082,0.0,2021-01-07
1449,0,1449,7281,7281,0,73.9,1.33687,1.33687,0.0,7281,0,1.33687,0.0,2021-01-08
190,0,190,7471,7471,0,75.8,1.37176,1.37176,0.0,7471,0,1.37176,0.0,2021-01-09
84,0,84,7555,7555,0,76.7,1.38718,1.38718,0.0,7555,0,1.38718,0.0,2021-01-10
728,0,728,8283,8283,0,84.1,1.52085,1.52085,0.0,8283,0,1.52085,0.0,2021-01-11
504,0,504,8787,8787,0,56.0,1.61339,1.61339,0.0,8787,0,1.61339,0.0,2021-01-12
421,0,421,9208,9208,0,58.6,1.69069,1.69069,0.0,9208,0,1.69069,0.0,2021-01-13
698,0,698,9906,9906,0,63.1,1.81885,1.81885,0.0,9906,0,1.81885,0.0,2021-01-14
594,0,594,10500,10500,0,66.9,1.92791,1.92791,0.0,10500,0,1.92791,0.0,2021-01-15
318,0,318,10818,10818,0,68.9,1.9863,1.9863,0.0,10818,0,1.9863,0.0,2021-01-16
251,0,251,11069,11069,0,70.5,2.03239,2.03239,0.0,11069,0,2.03239,0.0,2021-01-17
587,54,641,11710,11656,54,74.6,2.15008,2.14017,0.00991,11656,54,2.14017,0.00991,2021-01-18
405,0,405,12115,12061,54,77.2,2.22445,2.21453,0.00991,12061,54,2.21453,0.00991,2021-01-19
278,12,290,12405,12339,66,68.8,2.27769,2.26557,0.01212,12339,66,2.26557,0.01212,2021-01-20
228,123,351,12756,12567,189,70.7,2.34214,2.30744,0.0347,12567,189,2.30744,0.0347,2021-01-21
329,1337,1666,14422,12896,1526,79.9,2.64804,2.36785,0.28019,12896,1526,2.36785,0.28019,2021-01-22
388,189,577,14999,13284,1715,83.1,2.75398,2.43909,0.31489,13284,1715,2.43909,0.31489,2021-01-23
224,323,547,15546,13508,2038,86.2,2.85441,2.48022,0.3742,13508,2038,2.48022,0.3742,2021-01-24
23,794,817,16363,13531,2832,90.7,3.00443,2.48444,0.51999,13531,2832,2.48444,0.51999,2021-01-25
26,516,542,16905,13557,3348,93.7,3.10394,2.48921,0.61473,13557,3348,2.48921,0.61473,2021-01-26
91,711,802,17707,13648,4059,70.7,3.2512,2.50592,0.74528,13648,4059,2.50592,0.74528,2021-01-27
48,482,530,18237,13696,4541,72.8,3.34851,2.51473,0.83378,13696,4541,2.51473,0.83378,2021-01-28
55,1297,1352,19589,13751,5838,78.2,3.59675,2.52483,1.07192,13751,5838,2.52483,1.07192,2021-01-29
