delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
262,0,262,262,262,0,98.9,0.02172,0.02172,0.0,262,0,0.02172,0.0,2020-12-27
0,0,0,262,262,0,98.9,0.02172,0.02172,0.0,262,0,0.02172,0.0,2020-12-28
0,0,0,262,262,0,98.9,0.02172,0.02172,0.0,262,0,0.02172,0.0,2020-12-29
630,0,630,892,892,0,14.6,0.07395,0.07395,0.0,892,0,0.07395,0.0,2020-12-30
1053,0,1053,1945,1945,0,16.3,0.16125,0.16125,0.0,1945,0,0.16125,0.0,2020-12-31
0,0,0,1945,1945,0,16.3,0.16125,0.16125,0.0,1945,0,0.16125,0.0,2021-01-01
1217,0,1217,3162,3162,0,26.4,0.26214,0.26214,0.0,3162,0,0.26214,0.0,2021-01-02
312,0,312,3474,3474,0,29.0,0.28801,0.28801,0.0,3474,0,0.28801,0.0,2021-01-03
1510,0,1510,4984,4984,0,41.7,0.41319,0.41319,0.0,4984,0,0.41319,0.0,2021-01-04
1679,0,1679,6663,6663,0,35.5,0.55239,0.55239,0.0,6663,0,0.55239,0.0,2021-01-05
709,0,709,7372,7372,0,39.2,0.61117,0.61117,0.0,7372,0,0.61117,0.0,2021-01-06
2091,0,2091,9463,9463,0,40.0,0.78452,0.78452,0.0,9463,0,0.78452,0.0,2021-01-07
2322,0,2322,11785,11785,0,47.8,0.97702,0.97702,0.0,11785,0,0.97702,0.0,2021-01-08
2517,0,2517,14302,14302,0,58.0,1.18569,1.18569,0.0,14302,0,1.18569,0.0,2021-01-09
2940,0,2940,17242,17242,0,70.0,1.42943,1.42943,0.0,17242,0,1.42943,0.0,2021-01-10
1882,0,1882,19124,19124,0,71.9,1.58545,1.58545,0.0,19124,0,1.58545,0.0,2021-01-11
2257,0,2257,21381,21381,0,57.3,1.77257,1.77257,0.0,21381,0,1.77257,0.0,2021-01-12
2651,0,2651,24032,24032,0,64.4,1.99235,1.99235,0.0,24032,0,1.99235,0.0,2021-01-13
2587,0,2587,26619,26619,0,71.3,2.20682,2.20682,0.0,26619,0,2.20682,0.0,2021-01-14
2028,0,2028,28647,28647,0,76.8,2.37495,2.37495,0.0,28647,0,2.37495,0.0,2021-01-15
1231,0,1231,29878,29878,0,80.1,2.477,2.477,0.0,29878,0,2.477,0.0,2021-01-16
1720,0,1720,31598,31598,0,84.7,2.6196,2.6196,0.0,31598,0,2.6196,0.0,2021-01-17
1865,94,1959,33557,33463,94,84.6,2.78201,2.77421,0.00779,33463,94,2.77421,0.00779,2021-01-18
7,0,7,33564,33470,94,84.6,2.78259,2.77479,0.00779,33470,94,2.77479,0.00779,2021-01-19
12,738,750,34314,33482,832,86.5,2.84476,2.77579,0.06898,33482,832,2.77579,0.06898,2021-01-20
1,893,894,35208,33483,1725,79.4,2.91888,2.77587,0.14301,33483,1725,2.77587,0.14301,2021-01-21
0,90,90,35298,33483,1815,79.6,2.92634,2.77587,0.15047,33483,1815,2.77587,0.15047,2021-01-22
4,812,816,36114,33487,2627,81.5,2.99399,2.7762,0.21779,33487,2627,2.7762,0.21779,2021-01-23
1,304,305,36419,33488,2931,82.1,3.01928,2.77629,0.24299,33488,2931,2.77629,0.24299,2021-01-24
194,1388,1582,38001,33682,4319,85.7,3.15043,2.79237,0.35806,33682,4319,2.79237,0.35806,2021-01-25
213,1758,1971,39972,33895,6077,74.4,3.31383,2.81003,0.50381,33895,6077,2.81003,0.50381,2021-01-26
447,822,1269,41241,34342,6899,67.9,3.41904,2.84709,0.57195,34342,6899,2.84709,0.57195,2021-01-27
354,1881,2235,43476,34696,8780,71.6,3.60433,2.87643,0.7279,34696,8780,2.87643,0.7279,2021-01-28
264,2149,2413,45889,34960,10929,75.6,3.80438,2.89832,0.90606,34960,10929,2.89832,0.90606,2021-01-29
270,2001,2271,48160,35230,12930,79.3,3.99265,2.9207,1.07195,35230,12930,2.9207,1.07195,2021-01-30
385,2327,2712,50872,35615,15257,83.8,4.21749,2.95262,1.26486,35615,15257,2.95262,1.26486,2021-01-31
14,2079,2093,52965,35629,17336,85.4,4.391,2.95378,1.43722,35629,17336,2.95378,1.43722,2021-02-01
216,2248,2464,55429,35845,19584,72.9,4.59528,2.97169,1.62359,35845,19584,2.97169,1.62359,2021-02-02
22,2622,2644,58073,35867,22206,76.4,4.81448,2.97351,1.84096,35867,22206,2.97351,1.84096,2021-02-03
36,2694,2730,60803,35903,24900,79.9,5.04081,2.9765,2.06431,35903,24900,2.9765,2.06431,2021-02-04
90,2523,2613,63416,35993,27423,83.4,5.25743,2.98396,2.27347,35993,27423,2.98396,2.27347,2021-02-05
21,1131,1152,64568,36014,28554,84.9,5.35294,2.9857,2.36724,36014,28554,2.9857,2.36724,2021-02-06
384,1174,1558,66126,36398,29728,86.9,5.4821,3.01754,2.46457,36398,29728,3.01754,2.46457,2021-02-07
91,2263,2354,68480,36489,31991,90.0,5.67726,3.02508,2.65218,36489,31991,3.02508,2.65218,2021-02-08
1552,287,1839,70319,38041,32278,86.8,5.82972,3.15375,2.67597,38041,32278,3.15375,2.67597,2021-02-09
1266,86,1352,71671,39307,32364,78.3,5.9418,3.2587,2.6831,39307,32364,3.2587,2.6831,2021-02-10
1723,192,1915,73586,41030,32556,80.3,6.10057,3.40155,2.69902,41030,32556,3.40155,2.69902,2021-02-11
1145,50,1195,74781,42175,32606,81.7,6.19964,3.49647,2.70316,42175,32606,3.49647,2.70316,2021-02-12
556,6,562,75343,42731,32612,74.9,6.24623,3.54257,2.70366,42731,32612,3.54257,2.70366,2021-02-13
0,0,0,75343,42731,32612,74.9,6.24623,3.54257,2.70366,42731,32612,3.54257,2.70366,2021-02-14
2192,250,2442,77785,44923,32862,77.3,6.44868,3.72429,2.72439,44923,32862,3.72429,2.72439,2021-02-15
2387,115,2502,80287,47310,32977,79.8,6.6561,3.92218,2.73392,47310,32977,3.92218,2.73392,2021-02-16
1812,478,2290,82577,49122,33455,82.1,6.84595,4.0724,2.77355,49122,33455,4.0724,2.77355,2021-02-17
2762,406,3168,85745,51884,33861,73.3,7.10859,4.30139,2.80721,51884,33861,4.30139,2.80721,2021-02-18
2751,428,3179,88924,54635,34289,76.0,7.37215,4.52945,2.84269,54635,34289,4.52945,2.84269,2021-02-19
1866,144,2010,90934,56501,34433,71.6,7.53878,4.68415,2.85463,56501,34433,4.68415,2.85463,2021-02-20
421,377,798,91732,56922,34810,72.2,7.60494,4.71906,2.88588,56922,34810,4.71906,2.88588,2021-02-21
2002,418,2420,94152,58924,35228,74.1,7.80557,4.88503,2.92054,58924,35228,4.88503,2.92054,2021-02-22
557,40,597,94749,59481,35268,74.6,7.85506,4.93121,2.92385,59481,35268,4.93121,2.92385,2021-02-23
