delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
50,0,50,50,50,0,100.0,0.01664,0.01664,0.0,50,0,0.01664,0.0,2020-12-27
0,0,0,50,50,0,100.0,0.01664,0.01664,0.0,50,0,0.01664,0.0,2020-12-28
0,0,0,50,50,0,100.0,0.01664,0.01664,0.0,50,0,0.01664,0.0,2020-12-29
0,0,0,50,50,0,1.7,0.01664,0.01664,0.0,50,0,0.01664,0.0,2020-12-30
0,0,0,50,50,0,1.7,0.01664,0.01664,0.0,50,0,0.01664,0.0,2020-12-31
0,0,0,50,50,0,1.7,0.01664,0.01664,0.0,50,0,0.01664,0.0,2021-01-01
0,0,0,50,50,0,1.7,0.01664,0.01664,0.0,50,0,0.01664,0.0,2021-01-02
0,0,0,50,50,0,1.7,0.01664,0.01664,0.0,50,0,0.01664,0.0,2021-01-03
314,0,314,364,364,0,12.2,0.12112,0.12112,0.0,364,0,0.12112,0.0,2021-01-04
449,0,449,813,813,0,16.5,0.27053,0.27053,0.0,813,0,0.27053,0.0,2021-01-05
689,0,689,1502,1502,0,30.5,0.49981,0.49981,0.0,1502,0,0.49981,0.0,2021-01-06
598,0,598,2100,2100,0,42.6,0.6988,0.6988,0.0,2100,0,0.6988,0.0,2021-01-07
429,0,429,2529,2529,0,51.4,0.84155,0.84155,0.0,2529,0,0.84155,0.0,2021-01-08
450,0,450,2979,2979,0,60.5,0.99129,0.99129,0.0,2979,0,0.99129,0.0,2021-01-09
270,0,270,3249,3249,0,66.0,1.08114,1.08114,0.0,3249,0,1.08114,0.0,2021-01-10
557,0,557,3806,3806,0,48.5,1.26649,1.26649,0.0,3806,0,1.26649,0.0,2021-01-11
336,0,336,4142,4142,0,46.9,1.3783,1.3783,0.0,4142,0,1.3783,0.0,2021-01-12
474,0,474,4616,4616,0,52.3,1.53602,1.53602,0.0,4616,0,1.53602,0.0,2021-01-13
646,0,646,5262,5262,0,59.6,1.75099,1.75099,0.0,5262,0,1.75099,0.0,2021-01-14
538,0,538,5800,5800,0,65.7,1.93001,1.93001,0.0,5800,0,1.93001,0.0,2021-01-15
420,0,420,6220,6220,0,70.5,2.06977,2.06977,0.0,6220,0,2.06977,0.0,2021-01-16
48,30,78,6298,6268,30,71.4,2.09573,2.08575,0.00998,6268,30,2.08575,0.00998,2021-01-17
114,0,114,6412,6382,30,57.4,2.13366,2.12368,0.00998,6382,30,2.12368,0.00998,2021-01-18
162,11,173,6585,6544,41,59.0,2.19123,2.17759,0.01364,6544,41,2.17759,0.01364,2021-01-19
18,0,18,6603,6562,41,53.5,2.19722,2.18358,0.01364,6562,41,2.18358,0.01364,2021-01-20
6,0,6,6609,6568,41,53.6,2.19922,2.18557,0.01364,6568,41,2.18557,0.01364,2021-01-21
126,0,126,6735,6694,41,54.6,2.24115,2.2275,0.01364,6694,41,2.2275,0.01364,2021-01-22
0,0,0,6735,6694,41,54.6,2.24115,2.2275,0.01364,6694,41,2.2275,0.01364,2021-01-23
0,0,0,6735,6694,41,54.6,2.24115,2.2275,0.01364,6694,41,2.2275,0.01364,2021-01-24
3,316,319,7054,6697,357,57.2,2.3473,2.2285,0.1188,6697,357,2.2285,0.1188,2021-01-25
8,442,450,7504,6705,799,60.8,2.49704,2.23116,0.26588,6705,799,2.23116,0.26588,2021-01-26
8,666,674,8178,6713,1465,60.6,2.72132,2.23382,0.48749,6713,1465,2.23382,0.48749,2021-01-27
17,596,613,8791,6730,2061,65.1,2.9253,2.23948,0.68582,6730,2061,2.23948,0.68582,2021-01-28
