delta_1d,delta_2d,delta_all,sum_doses,sum_1d,sum_2d,perc_doses,perc_inh_tot,perc_inh_1d,perc_inh_2d,sum_monotone_1d,sum_monotone_2d,perc_inh_monotone_1d,perc_inh_monotone_2d,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-12-26
85,0,85,85,85,0,100.0,0.00977,0.00977,0.0,85,0,0.00977,0.0,2020-12-27
0,0,0,85,85,0,100.0,0.00977,0.00977,0.0,85,0,0.00977,0.0,2020-12-28
0,0,0,85,85,0,100.0,0.00977,0.00977,0.0,85,0,0.00977,0.0,2020-12-29
0,0,0,85,85,0,1.7,0.00977,0.00977,0.0,85,0,0.00977,0.0,2020-12-30
322,0,322,407,407,0,8.2,0.04677,0.04677,0.0,407,0,0.04677,0.0,2020-12-31
273,0,273,680,680,0,13.7,0.07815,0.07815,0.0,680,0,0.07815,0.0,2021-01-01
301,0,301,981,981,0,19.8,0.11274,0.11274,0.0,981,0,0.11274,0.0,2021-01-02
267,0,267,1248,1248,0,25.2,0.14342,0.14342,0.0,1248,0,0.14342,0.0,2021-01-03
809,0,809,2057,2057,0,41.5,0.23639,0.23639,0.0,2057,0,0.23639,0.0,2021-01-04
850,0,850,2907,2907,0,29.6,0.33407,0.33407,0.0,2907,0,0.33407,0.0,2021-01-05
843,0,843,3750,3750,0,38.1,0.43095,0.43095,0.0,3750,0,0.43095,0.0,2021-01-06
1291,0,1291,5041,5041,0,51.3,0.57932,0.57932,0.0,5041,0,0.57932,0.0,2021-01-07
1173,0,1173,6214,6214,0,63.2,0.71412,0.71412,0.0,6214,0,0.71412,0.0,2021-01-08
1719,0,1719,7933,7933,0,80.7,0.91167,0.91167,0.0,7933,0,0.91167,0.0,2021-01-09
1056,0,1056,8989,8989,0,91.4,1.03302,1.03302,0.0,8989,0,1.03302,0.0,2021-01-10
1281,0,1281,10270,10270,0,104.4,1.18024,1.18024,0.0,10270,0,1.18024,0.0,2021-01-11
784,0,784,11054,11054,0,70.5,1.27033,1.27033,0.0,11054,0,1.27033,0.0,2021-01-12
450,0,450,11504,11504,0,68.9,1.32205,1.32205,0.0,11504,0,1.32205,0.0,2021-01-13
752,0,752,12256,12256,0,73.5,1.40847,1.40847,0.0,12256,0,1.40847,0.0,2021-01-14
698,0,698,12954,12954,0,77.6,1.48868,1.48868,0.0,12954,0,1.48868,0.0,2021-01-15
221,0,221,13175,13175,0,79.0,1.51408,1.51408,0.0,13175,0,1.51408,0.0,2021-01-16
54,0,54,13229,13229,0,79.3,1.52029,1.52029,0.0,13229,0,1.52029,0.0,2021-01-17
529,84,613,13842,13758,84,72.8,1.59073,1.58108,0.00965,13758,84,1.58108,0.00965,2021-01-18
103,0,103,13945,13861,84,73.3,1.60257,1.59292,0.00965,13861,84,1.59292,0.00965,2021-01-19
613,0,613,14558,14474,84,64.6,1.67302,1.66336,0.00965,14474,84,1.66336,0.00965,2021-01-20
341,269,610,15168,14815,353,67.3,1.74312,1.70255,0.04057,14815,353,1.70255,0.04057,2021-01-21
32,244,276,15444,14847,597,68.5,1.77484,1.70623,0.06861,14847,597,1.70623,0.06861,2021-01-22
2,275,277,15721,14849,872,69.8,1.80667,1.70646,0.10021,14849,872,1.70646,0.10021,2021-01-23
1,253,254,15975,14850,1125,70.9,1.83586,1.70657,0.12929,14850,1125,1.70657,0.12929,2021-01-24
5,642,647,16622,14855,1767,73.8,1.91021,1.70715,0.20306,14855,1767,1.70715,0.20306,2021-01-25
18,796,814,17436,14873,2563,70.1,2.00376,1.70922,0.29454,14873,2563,1.70922,0.29454,2021-01-26
13,825,838,18274,14886,3388,73.5,2.10006,1.71071,0.38935,14886,3388,1.71071,0.38935,2021-01-27
